000080C0C0000000 0008080E00000000 0050700000000000 00000000021E0000 000000301C000000 0000000000E0E000 0C04060000000000 F020000000000000 
0004060600000000 002020E000000000 C040C00000000000 00000000003C2000 0008181010000000 00000000C0C0C000 000000080E020000 3C10000000000000 
0004060600000000 0000E08080000000 0000007050000000 00000000021E0000 0C38000000000000 0000000000E0E000 000018080C000000 F040000000000000 
0004060600000000 0000E08080000000 0000007050000000 00000000021E0000 C070000000000000 0000000000E0E000 000018080C000000 3C08000000000000 
0000000606020000 000000008080E000 0000000050700000 3C04000000000000 C070000000000000 0000E0E000000000 00000018080C0000 00081E0000000000 
0000000606020000 00000010101C0000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 0C04060000000000 0008180808000000 
000000C0C0400000 0000001C10100000 0000000000A0E000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000F02000000000 
0000060602000000 E020200000000000 1C14000000000000 0008080818000000 0040C08080000000 0000000000E0E000 0000107040000000 00000000041E0000 
0018180800000000 000000008080E000 C040C00000000000 3C04000000000000 0020203010000000 0000060606000000 000000C040600000 00000000081E0000 
0C0C040000000000 000000008080E000 C040C00000000000 2020203000000000 1010180800000000 000000001C1C0000 000000C040600000 0000020602020000 
0C0C040000000000 00000010101C0000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 000018080C000000 0000020602020000 
0C0C040000000000 0020203800000000 0000000000A0E000 C040404000000000 00008080C0400000 000000001C1C0000 3010180000000000 0000020602020000 
0C0C040000000000 0020203800000000 C040C00000000000 000000808080C000 0000004040602000 000000001C1C0000 3010180000000000 0000020602020000 
0C0C040000000000 0040407000000000 0000000000A0E000 F010000000000000 00008080C0400000 000000001C1C0000 0020380800000000 0000020602020000 
0C0C040000000000 0000007040400000 0000000000A0E000 F010000000000000 0040C08080000000 000000001C1C0000 0020380800000000 0000020602020000 
0C0C040000000000 0000E08080000000 00000A0E00000000 0030101010000000 000000000030E000 000000000E0E0000 0000006040C00000 F040000000000000 
1818080000000000 000000008080E000 C040C00000000000 00000000021E0000 0404060200000000 0000001C1C000000 000000C040600000 2020302000000000 
1818080000000000 E020200000000000 0000000A0E000000 00000000101E0000 0040C08080000000 0000000000E0E000 0000107040000000 0404060400000000 
0000000C0C080000 000000008080E000 0000000050700000 0000020202060000 0C38000000000000 0000E0E000000000 00041C1000000000 F040000000000000 
0000000C0C080000 000000008080E000 0000000050700000 0000020202060000 C070000000000000 0000E0E000000000 00041C1000000000 3C08000000000000 
0000001818100000 00000002020E0000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 0C08180000000000 0004060404000000 
000C0C0800000000 0010107000000000 0000000000A0E000 3C20000000000000 00008080C0400000 000000001C1C0000 C040600000000000 0000020602020000 
0030302000000000 000000008080E000 C040C00000000000 3C04000000000000 0008081810000000 0000060606000000 000000C040600000 00000000081E0000 
0060604000000000 0008080E00000000 0000000000A0E000 F010000000000000 00008080C0400000 000000000E0E0000 0C04060000000000 0000103010100000 
0C0C080000000000 00000002020E0000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 000006040C000000 0000101810100000 
0C0C080000000000 00000002020E0000 C040C00000000000 3020202000000000 000000000030E000 000000C0C0C00000 000006040C000000 0010101810000000 
0C0C080000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 0000E0E000000000 0030101800000000 F040000000000000 
0C0C080000000000 000000008080E000 0000006040600000 00000000101E0000 0010101808000000 0000060606000000 0020E08000000000 F040000000000000 
1818100000000000 000000008080E000 C040C00000000000 2020203000000000 04040C0800000000 000000001C1C0000 000000C040600000 0000020602020000 
3030200000000000 000000008080E000 C040C00000000000 0808080C00000000 0404060200000000 000000000E0E0000 000000C040600000 0000103010100000 
3030200000000000 0008080E00000000 0000000000A0E000 C040404000000000 00008080C0400000 000000000E0E0000 0C04060000000000 0000103010100000 
3030200000000000 0008080E00000000 C040C00000000000 000000808080C000 0000004040602000 000000000E0E0000 0C04060000000000 0000103010100000 
