6060200000000000 1C04040000000000 00000A0E00000000 0000004078000000 00000000061C0000 0000000000E0E000 0018103000000000 0080C08080000000 
00000000C0C08000 00000010101C0000 00C080C000000000 0000002020206000 7018000000000000 0000000E0E000000 0C04060000000000 0020780000000000 
00000000C0C08000 008080E000000000 0000001808180000 7808000000000000 0000020206040000 0070700000000000 0000000030206000 04040C0400000000 
0000000606040000 0000080838000000 00000000C080C000 000010F000000000 7018000000000000 00E0E00000000000 0C04060000000000 0000000000782000 
0000000606040000 0000101070000000 0060206000000000 0000080808180000 7018000000000000 0000000000E0E000 0C04060000000000 0080C08080000000 
0000000606040000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 00E0E00000000000 0C04060000000000 000000F020000000 
0000000606040000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 00C0C0C000000000 0C04060000000000 0020203020000000 
0000000606040000 000000008080E000 0000003828000000 0008780000000000 008080C040000000 7070000000000000 0C04060000000000 0000000010780000 
0000000606040000 000000008080E000 00E0A00000000000 0000180808080000 7018000000000000 0000000070700000 0C04060000000000 000040F000000000 
0000000606040000 000000008080E000 00E0A00000000000 0000180808080000 7018000000000000 0000003030300000 0C04060000000000 000040C040400000 
0000000606040000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 00E0E00000000000 0C04060000000000 000000F020000000 
0000000606040000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 00C0C0C000000000 0C04060000000000 0020203020000000 
0000000606040000 000000008080E000 00C080C000000000 0000000040780000 7018000000000000 0000003838000000 0C04060000000000 0020780000000000 
0000000606040000 000000008080E000 00C080C000000000 0000000040780000 7018000000000000 0000181818000000 0C04060000000000 0020602020000000 
0000000606040000 0000003808080000 00C080C000000000 00000000F0100000 7018000000000000 0000000000E0E000 0C04060000000000 0020780000000000 
0000000606040000 0000007010100000 0000000060206000 0000180808080000 7018000000000000 00E0E00000000000 0C04060000000000 0000008080C08000 
0000000606040000 00000E0808000000 00A0E00000000000 7840000000000000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000000606040000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000707000000000 0C04060000000000 00000000F0400000 
0000000606040000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000303030000000 0C04060000000000 00004040C0400000 
0000000606040000 00E0808000000000 0000705000000000 0000080808180000 7018000000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
0000000606040000 00E0808000000000 0000705000000000 0000080808180000 7018000000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
0000000606040000 00E0808000000000 0000001808180000 0000784000000000 7018000000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
0000000606040000 00E0808000000000 0000001808180000 0000784000000000 7018000000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
0000000606040000 00E0808000000000 00000000C080C000 0000784000000000 7018000000000000 0000003838000000 0C04060000000000 0000000000782000 
